date,end_of_day,vol
2022-07-06,1188.72564292538,0.8366549952013225
2022-07-07,1240.3784056617153,0.8378275802113921
2022-07-08,1233.5146792602989,0.8338379819008532
2022-07-09,1216.8497068484603,0.8338079963661728
2022-07-10,1169.012707661018,0.8345733582574469
2022-07-11,1097.4494380477286,0.8366977211789561
2022-07-12,1040.7971455029597,0.8369466644504903
2022-07-13,1112.9207827012565,0.8385406951845452
2022-07-14,1191.1308371103116,0.8410664996801127
2022-07-15,1234.0991389763224,0.8407445607096913
2022-07-16,1355.04564021949,0.8462449395308524
2022-07-17,1344.7202840019017,0.8461701974085941
2022-07-18,1570.6589588642053,0.8626784666752279
2022-07-19,1542.6298214332235,0.8618034856534671
2022-07-20,1527.4139307593093,0.8616989861074986
2022-07-21,1576.8252394976823,0.8544531797838184
2022-07-22,1536.124922238913,0.8547743058969431
2022-07-23,1552.4964891908746,0.853702047444193
2022-07-24,1601.2079670127046,0.8537012766251513
2022-07-25,1450.4822852139405,0.8588084546487674
2022-07-26,1438.9880382230651,0.8587905513216232
2022-07-27,1636.9491814677851,0.8693227979928214
2022-07-28,1723.5485206790597,0.8709193812445466
2022-07-29,1739.0421771356112,0.8702087911188027
2022-07-30,1696.7850982136515,0.8699231278347895
2022-07-31,1682.011373614746,0.8693675506845703
2022-08-01,1636.0185563573557,0.8697766144708564
2022-08-02,1638.3786826572205,0.8694933146795197
2022-08-03,1621.3413236364065,0.8688702572771406
2022-08-04,1612.4189067269824,0.8651001772690277
2022-08-05,1725.3826270211505,0.8672201849603682
2022-08-06,1693.2965918360276,0.8670750944656488
2022-08-07,1699.0064178886953,0.8622383107325595
2022-08-08,1775.7013555270828,0.8623501481998088
2022-08-09,1698.9661290126492,0.8619195439316635
2022-08-10,1852.8785552656473,0.8667276544800293
2022-08-11,1881.4274054352998,0.8668487733491052
2022-08-12,1959.3309247187408,0.8670601341418748
2022-08-13,1982.4118280514233,0.8624035756135938
2022-08-14,1936.7011636052605,0.8625523486172645
2022-08-15,1908.2776419059185,0.8625709420854595
2022-08-16,1880.6001012594395,0.8614150702373778
2022-08-17,1834.8264526426372,0.8605137863232317
2022-08-18,1850.1112910473696,0.8604952375072834
2022-08-19,1618.5325042633535,0.8687485172538298
2022-08-20,1579.4157230953704,0.8679996428412092
2022-08-21,1624.149982884847,0.8683583089832042
2022-08-22,1622.30703457785,0.8683309176549131
2022-08-23,1665.7919073919315,0.8684240482738204
2022-08-24,1657.7936424663385,0.8674049602625317
2022-08-25,1697.0769719636442,0.8675697254633178
2022-08-26,1510.1891114840514,0.87383066656652
2022-08-27,1496.0554659420902,0.8725857655643608
2022-08-28,1438.7470503278116,0.8733611742451656
2022-08-29,1555.1774560415913,0.877207354781047
2022-08-30,1525.400116232047,0.8773958358945013
2022-08-31,1552.5629662281337,0.8751561000780029
2022-09-01,1588.9803510869067,0.8694116690917882
2022-09-02,1575.1766307276075,0.8694402574879913
2022-09-03,1555.6740772078124,0.8686276511665274
2022-09-04,1578.9493013433012,0.8687365836916073
2022-09-05,1617.9354554854337,0.868989069972775
